store_code,store_name
1501,IST AVP AKMERKEZ AVM
1502,IST AND BAGDAT CD
1504,KYS TUNA LIFE CENTER AVM
1505,IST AND CITY'S ISTANBUL AVM
1507,IST AVP CEVAHIR AVM
1508,DYR WINSTOWN AVM
1509,MUS MUS CD
1512,IST AVP YENIBOSNA OUT CD
1513,DZC DUZCE ROYAL GOLD AVM
1514,IST AVP BEYOGLU CD
1515,IST AVP PIYALEPASA AVM
1516,IST AVP ISTINYE PARK AVM
1517,IST AND MEYDAN ISTANBUL AVM
1518,ADA ADANA CEYHAN CD
1519,IST AVP CAPACITY AVM
1520,MGL MILAS POMELON AVM
1521,IST AVP NISANTASI CITY'S AVM
1522,KRK LULEBURGAZ MINIMALL AVM
1523,IST AND PALLADIUM AVM
1524,IST AND PENDIK NEOMARIN AVM
1525,IST AND CAPITOL AVM
1527,IST AVP ISTANBUL FRM AVM
1528,IST AND PENDORYA AVM
1529,IST AND KOZZY AVM
1532,IST AVP TORIUM OUT AVM
1533,IST AVP MARMARA FRM AVM
1534,IST AVP PELICANMALL AVM
1535,IST AVP GALATASARAY CD
1536,MNS MANISA MEYDAN AVM
1538,IST AVP AKBATI AVM
1539,IST AVP CAROUSEL AVM
1540,IST AVP ARENAPARK AVM
1541,IST AVP HISTORIA AVM
1542,IST AND BUYAKA AVM
1543,IST AVP MARMARAPARK AVM
1544,IST AVP BEYLIKDUZU MIGROS AVM
1545,IST AND MALTEPE PARK AVM
1546,IST AVP ODAKULE CD
1548,IST AVP AXIS KAGITHANE AVM
1549,IST AVP ISFANBUL AVM
1550,IST AND PENDIK CD
1551,IST AVP ZORLU CENTER AVM
1552,IST AND AKASYA AVM
1553,IST AND CANPARK AVM
1555,ADA ZIYAPASA CD
1556,IST AND METROGARDEN AVM
1557,IST AVP MALL OF IST AVM
1558,IST AND UMRANIYE CD 2
1559,IST AND BAHARIYE CD 2
1561,IST AVP OZDILEK-K AVM
